artists,acousticness,danceability,duration_ms,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity,key,mode,count_x,genres,genre,count,label
Claudio Scimone,0.956,0.43325,253936.75,0.14275,0.6735,0.28225,-20.03400000000001,0.054975,109.188,0.471575,20.5,2,1,4,['classical performance'],classical performance,127,7
Clave 520,0.545,0.762,136376.0,0.722,0.0,0.1639999999999999,-3.904,0.0316,114.999,0.979,62.0,9,1,2,"['corrido', 'corridos tumbados', 'regional mexican pop']",regional mexican pop,54,64
Clay Walker,0.1317422222222221,0.6028333333333331,202519.9444444445,0.6500833333333333,5.476388888888888e-05,0.1404388888888888,-8.85911111111111,0.0342305555555555,128.3103055555556,0.5650555555555554,46.19444444444444,7,1,36,"['contemporary country', 'country', 'country road', 'modern country rock']",country road,112,12
Cleveland Orchestra,0.9407444794952682,0.3279652996845429,318829.29968454264,0.1529353312302839,0.7510261319873818,0.1532580441640378,-19.21105362776026,0.0416867507886435,111.9080914826498,0.276906309148265,7.435331230283912,7,1,317,"['classical performance', 'orchestra']",classical performance,127,7
Cliff Edwards,0.9501666666666668,0.5276666666666666,148800.5,0.3551666666666667,0.0076683333333333,0.3271666666666666,-12.623166666666668,0.1821166666666666,118.637,0.5429999999999999,29.33333333333333,8,1,6,['movie tunes'],movie tunes,96,17
Climax,0.434,0.203,164653.0,0.401,0.0,0.1,-12.341,0.0339,201.467,0.17,43.0,9,1,2,"['blues rock', 'british blues', 'classic rock', 'country rock', 'soft rock']",country rock,80,26
Climax Blues Band,0.19612,0.585,235843.0,0.70775,0.25318275,0.28455,-9.3255,0.05775,121.72075,0.5599999999999999,42.75,7,1,8,"['blues rock', 'british blues', 'classic rock', 'country rock', 'soft rock']",country rock,80,26
Climie Fisher,0.244,0.5815,277293.5,0.68,0.0002604,0.154,-10.762,0.02865,101.043,0.7475,54.5,5,1,4,"['dance rock', 'new romantic', 'new wave pop']",new wave pop,118,10
Clint Black,0.3196849315068493,0.626958904109589,204850.34246575343,0.5368904109589042,0.0004956372602739,0.2255698630136986,-10.077013698630132,0.0328246575342465,117.22453424657527,0.5625479452054797,38.05479452054794,9,1,73,"['country', 'country road', 'country rock']",country rock,80,26
Clipse,0.25745,0.6978333333333334,245671.08333333328,0.7723333333333334,6.0703333333333325e-05,0.234525,-4.5045,0.2633666666666666,124.94083333333334,0.6339166666666667,48.83333333333334,11,1,12,"['alternative hip hop', 'gangster rap', 'hardcore hip hop', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",southern hip hop,149,3
Clue,0.0129,0.608,251640.0,0.76,0.0,0.332,-5.851,0.242,168.21099999999996,0.366,43.0,4,0,1,"['east coast hip hop', 'hardcore hip hop', 'hip hop', 'hip pop']",hip hop,83,24
Clyde Boudreaux,0.993,0.133,151750.0,0.00512,0.851,0.0954,-33.295,0.038,67.818,0.0495,68.0,9,1,2,['background music'],background music,67,34
Coast,0.123,0.939,240973.0,0.462,0.00251,0.111,-5.635,0.0507,102.173,0.374,40.0,8,1,2,"['indie pop', 'indie poptimism', 'indie rock', 'indietronica', 'modern alternative rock', 'modern rock']",indietronica,60,50
Coast Modern,0.0843933333333333,0.6936666666666667,216751.33333333328,0.7886666666666667,0.0009006533333333,0.0783333333333333,-5.031333333333333,0.0415333333333333,121.96766666666667,0.5990000000000001,60.0,7,1,6,"['indie pop', 'indie poptimism', 'indie rock', 'indietronica', 'modern alternative rock', 'modern rock']",indietronica,60,50
Coconut Records,0.23775,0.6105,189299.5,0.752,6.201000000000001e-05,0.0813,-6.3415,0.0428,100.0235,0.621,52.0,10,1,4,"['indie pop', 'la indie', 'stomp and holler']",stomp and holler,56,59
Cody Simpson,0.370088,0.5386,213594.8,0.5882,0.000672,0.23828,-7.781799999999999,0.05122,109.4342,0.5018,65.6,5,1,5,"['australian pop', 'dance pop', 'pop', 'post-teen pop', 'viral pop']",post-teen pop,137,4
Colby O'Donis,0.03791,0.7996000000000001,249407.8,0.7297,2.542e-05,0.1708,-5.1887,0.03905,120.3894,0.6025,55.0,1,0,10,"['pop rap', 'urban contemporary']",pop rap,135,6
Cold Hart,0.0545,0.589,155573.0,0.665,0.0,0.221,-7.105,0.044,74.97800000000002,0.298,66.0,0,1,2,"['dark trap', 'emo rap', 'underground hip hop', 'vapor trap']",underground hip hop,108,14
Cold War Kids,0.0328966666666666,0.4800000000000002,222457.83333333328,0.7948333333333335,0.105570015,0.297,-3.999666666666666,0.04655,101.89066666666666,0.4488333333333333,55.83333333333334,9,1,12,"['indie pop', 'indie rock', 'modern alternative rock', 'modern rock', 'piano rock', 'pop rock', 'rock', 'stomp and holler']",rock,127,8
Cole Swindell,0.1462373913043478,0.5120434782608695,197630.65217391303,0.7494782608695651,3.3826086956521738e-06,0.1752,-4.343782608695651,0.0359565217391304,116.69882608695652,0.4595652173913044,60.69565217391305,11,1,23,"['contemporary country', 'country', 'country road', 'modern country rock']",country road,112,12
Coleman Hell,0.0621,0.733,213707.0,0.565,0.000324,0.104,-8.515,0.0367,120.006,0.35,57.0,0,1,2,"['canadian pop', 'indie poptimism', 'pop rock']",pop rock,169,1
Colin Firth,0.246,0.635,177627.0,0.4589999999999999,0.0,0.259,-7.343,0.0244,96.056,0.433,66.0,7,1,1,['hollywood'],hollywood,89,21
Colin Hay,0.7484,0.5760000000000001,272117.2,0.3594,0.096053326,0.12388,-12.6524,0.03808,112.1636,0.4052000000000001,49.2,7,1,10,['neo mellow'],neo mellow,71,32
