genre,label
guitarra argentina,1099
christian alternative rock,1100
deep latin christian,1101
barbershop,1102
electropowerpop,1103
jazz boom bap,1104
german baroque,1105
techno,1106
hokkien pop,1107
acid jazz,1108
yiddish folk,1109
manila sound,1110
classic iskelma,1111
mollywood,1112
classic belgian pop,1113
pony,1114
tamborazo,1115
rap napoletano,1116
brooklyn indie,1117
scottish singer-songwriter,1118
scottish metal,1119
chopped and screwed,1120
cumbia ranchera,1121
nerdcore,1122
barbadian pop,1123
jazz tuba,1124
vintage dutch pop,1125
eau claire indie,1126
carnatic vocal,1127
music hall,1128
persian pop,1129
indian jazz,1130
bc underground hip hop,1131
christian indie,1132
ambient idm,1133
deep motown,1134
irish classical,1135
canadian comedy,1136
detroit trap,1137
doom metal,1138
israeli classical,1139
horror synth,1140
olympia wa indie,1141
musica infantil,1142
memphis americana,1143
classic schlager,1144
musica para ninos,1145
oud,1146
flamenco guitar,1147
musikkorps,1148
lancaster pa indie,1149
japanese soundtrack,1150
etherpop,1151
boogie-woogie,1152
estonian pop,1153
kleine hoerspiel,1154
pinoy r&b,1155
volksmusik,1156
sertanejo tradicional,1157
comic metal,1158
norwegian black metal,1159
alternative emo,1160
albanian pop,1161
dominican pop,1162
abstract beats,1163
german dance,1164
makossa,1165
yugoslav rock,1166
german house,1167
welsh rock,1168
bengali folk,1169
okc indie,1170
greek folk,1171
louisville indie,1172
west african jazz,1173
lebanese pop,1174
hoerspiel,1175
hands up,1176
soda pop,1177
final fantasy,1178
ambient,1179
florida death metal,1180
krautrock,1181
christian metal,1182
afghan pop,1183
tamil worship,1184
chinese traditional,1185
scottish new wave,1186
venezuelan rock,1187
sheffield indie,1188
new york drill,1189
dutch rock,1190
dakke dak,1191
deep uplifting trance,1192
uzbek traditional,1193
funk das antigas,1194
norsk lovsang,1195
forro,1196
cumbia peruana,1197
instrumental grime,1198
chutney,1199
bahamian pop,1200
popwave,1201
persian traditional,1202
turkish rock,1203
funk carioca,1204
pinoy hip hop,1205
tampa indie,1206
electrofox,1207
aussietronica,1208
experimental pop,1209
new jersey indie,1210
musique concrete,1211
jacksonville indie,1212
new jersey punk,1213
jazz accordion,1214
hammered dulcimer,1215
swing revival,1216
progressive trance house,1217
irish pub song,1218
old west,1219
nordic house,1220
early us punk,1221
ryukyu ongaku,1222
432hz,1223
afrobeat,1224
vaudeville,1225
british soundtrack,1226
panpipe,1227
melodic death metal,1228
cuban rumba,1229
afrofuturism,1230
chilean rock,1231
tagalog worship,1232
swedish death metal,1233
vermont indie,1234
tipico,1235
circus,1236
uk garage,1237
tollywood,1238
adventista,1239
audiophile vocal,1240
chillstep,1241
minimal techno,1242
japanese singer-songwriter,1243
moog,1244
asian american hip hop,1245
tape club,1246
sound effects,1247
swedish americana,1248
belgian pop,1249
indie jazz,1250
seattle indie,1251
avant-garde,1252
chinese classical performance,1253
german soundtrack,1254
afroswing,1255
deep southern soul,1256
djent,1257
cumbia pop,1258
nueva ola peruana,1259
louisiana blues,1260
japanese new wave,1261
nightrun,1262
entehno,1263
drill,1264
turkish folk,1265
chicago soul,1266
hawaiian indie,1267
rap kreyol,1268
pianissimo,1269
son cubano clasico,1270
jazz orchestra,1271
choro,1272
indy indie,1273
mountain dulcimer,1274
san diego indie,1275
vogue,1276
tech house,1277
portland indie,1278
welsh indie,1279
contrabass,1280
asmr,1281
nyhc,1282
brazilian psychedelic,1283
chinese indie,1284
irish pop,1285
argentine hip hop,1286
austin singer-songwriter,1287
samba de roda,1288
turkish pop,1289
classical oboe,1290
pinoy praise,1291
kayokyoku,1292
sovietwave,1293
nz indie,1294
basshall,1295
austindie,1296
canadian rock,1297
luk thung,1298
japanese dream pop,1299
klezmer,1300
deep east coast hip hop,1301
australian trap,1302
classic polish pop,1303
punjabi pop,1304
shakuhachi,1305
bass house,1306
rwandan traditional,1307
sevdah,1308
mexican classic rock,1309
christian trap,1310
sitar,1311
bounce,1312
uk alternative pop,1313
shush,1314
quebec indie,1315
tex-mex,1316
boston hip hop,1317
classical trumpet,1318
australian house,1319
swedish idol pop,1320
latin arena pop,1321
orquesta tipica,1322
melodic dubstep,1323
narodna muzika,1324
uk noise rock,1325
latintronica,1326
slavic folk metal,1327
scottish fiddle,1328
puerto rican rock,1329
thall,1330
russian pop,1331
iraqi pop,1332
swedish soul,1333
clawhammer banjo,1334
croatian rock,1335
irish metal,1336
garage punk blues,1337
brain waves,1338
neo-trad metal,1339
spanish folk metal,1340
strut,1341
j-rap,1342
zen,1343
serialism,1344
beat poetry,1345
partido alto,1346
classic russian rock,1347
swedish gangsta rap,1348
slam poetry,1349
nu age,1350
ambient pop,1351
yodeling,1352
japanese punk rock,1353
qawwali,1354
drill and bass,1355
breakcore,1356
belgian indie,1357
horror punk,1358
string band,1359
omaha indie,1360
modern string quartet,1361
chaotic hardcore,1362
neo-rockabilly,1363
south african country,1364
nordic soundtrack,1365
knoxville indie,1366
korean trap,1367
renaissance,1368
lexington ky indie,1369
monterrey indie,1370
nightcore,1371
quebec death metal,1372
funky breaks,1373
dc indie,1374
skiffle,1375
darksynth,1376
barnmusik,1377
japanese classical,1378
edmonton indie,1379
spanish metal,1380
dark techno,1381
malmo indie,1382
lo-fi house,1383
new wave of thrash metal,1384
arabic jazz,1385
afro-funk,1386
ukg revival,1387
ethiopian pop,1388
jazz colombiano,1389
muziek voor kinderen,1390
